Drugname	NCIDS:Phase:Status:Literature	Targets
nivolumab	NCT03143270:Early Phase 1:Recruiting:No publish;;NCT03572582:Phase 2:Recruiting:No publish;;NCT03203304:Phase 1:Recruiting:No publish;;NCT03299946:Phase 1:Recruiting:No publish;;NCT02423343:Phase 1|Phase 2:Recruiting:No publish;;NCT03071094:Phase 1|Phase 2:Recruiting:No publish;;NCT02859324:Phase 1|Phase 2:Recruiting:No publish;;NCT03511222:Phase 1:Not yet recruiting:No publish;;NCT03222076:Phase 2:Recruiting:No publish;;NCT03418922:Phase 1:Recruiting:No publish;;NCT03382886:Phase 1:Recruiting:No publish;;NCT02576509:Phase 3:Active, not recruiting:No publish	No target
incb062079	NCT03144661:Phase 1:Recruiting:No publish	html not right
pregabalin 150mg	NCT03151213:Phase 4:Recruiting:No publish	html not right
sorafenib 200mg tab	NCT03164382:Phase 3:Recruiting:No publish	html not right
folfox regimen	NCT03164382:Phase 3:Recruiting:No publish;;NCT00103298:Phase 2:Completed:No publish;;NCT00006479:Phase 3:Unknown status:Benoist S, Nordlinger B. The role of preoperative chemotherapy in patients with resectable colorectal liver metastases. Ann Surg Oncol. 2009 Sep;16(9):2385-90. doi: 10.1245/s10434-009-0492-7. Epub 2009 Jun 25. Review.;;NCT00006050:Phase 2:Unknown status:Ducreux M, Ychou M, Laplanche A, Gamelin E, Lasser P, Husseini F, Quenet F, Viret F, Jacob JH, Boige V, Elias D, Delperro JR, Luboinski M; gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. Hepatic arterial oxaliplatin infusion plus intravenous chemotherapy in colorectal cancer with inoperable hepatic metastases: a trial of the gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. J Clin Oncol. 2005 Aug 1;23(22):4881-7. Epub 2005 Jul 11.;;NCT00008294:Phase 1:Completed:Kemeny N, Capanu M, D'Angelica M, Jarnagin W, Haviland D, Dematteo R, Fong Y. Phase I trial of adjuvant hepatic arterial infusion (HAI) with floxuridine (FUDR) and dexamethasone plus systemic oxaliplatin, 5-fluorouracil and leucovorin in patients with resected liver metastases from colorectal cancer. Ann Oncol. 2009 Jul;20(7):1236-41. doi: 10.1093/annonc/mdn769. Epub 2009 Feb 20.	html not right
oxaliplatin, cetuximab, bevacizumab, panitumumab, irinotecan, leucovorin, 5fluorouracil	NCT03164655:Phase 2:Not yet recruiting:No publish	html not right
il-2	NCT03175705:Phase 1:Recruiting:No publish;;NCT03175679:Phase 1:Recruiting:No publish	html not right
tegafur	NCT03175705:Phase 1:Recruiting:No publish;;NCT03175679:Phase 1:Recruiting:No publish	html not right
celebrex plus metformin	NCT03184493:Phase 3:Recruiting:No publish	html not right
celebrex	NCT03184493:Phase 3:Recruiting:No publish	html not right
metformin	NCT03184493:Phase 3:Recruiting:No publish;;NCT02431676:Phase 2:Active, not recruiting:No publish;;NCT02672488:Phase 2:Recruiting:No publish	html not right
bushen-jianpi dedoction	NCT03189992:Phase 1:Recruiting:No publish	html not right
cinobufotalin injection	NCT03189992:Phase 1:Recruiting:No publish	html not right
epidoxorubicin and cisplatin and lipiodol	NCT03192644:Phase 3:Recruiting:No publish	html not right
mfolfox6 (oxaliplatin, calcium folinate, and 5-fu)	NCT03192644:Phase 3:Recruiting:No publish;;NCT03192618:Phase 3:Recruiting:No publish	html not right
c188-9	NCT03195699:Phase 1:Recruiting:No publish	No target
perflutren protein-type a microspheres	NCT03199274:Early Phase 1:Recruiting:No publish	html not right
np-g2-044	NCT03199586:Phase 1:Recruiting:No publish	html not right
ima970a plus cv8102 and cyclophosphamide	NCT03203005:Phase 1|Phase 2:Recruiting:No publish	html not right
recombinant human endostatin	NCT03208335:Phase 2:Recruiting:No publish	html not right
urea cream 20%	NCT03212625:Phase 4:Recruiting:No publish	html not right
placebos	NCT03212625:Phase 4:Recruiting:No publish	html not right
primovist	NCT03215355:Phase 4:Not yet recruiting:No publish	html not right
pravastatin pill	NCT03219372:Phase 2:Recruiting:No publish	html not right
arq 087	NCT03230318:Phase 2:Recruiting:No publish;;NCT01752920:Phase 1|Phase 2:Active, not recruiting:No publish	html not right
cpg dna	NCT03235167:Phase 1:Not yet recruiting:No publish	html not right
placebo - concentrate	NCT03235167:Phase 1:Not yet recruiting:No publish	html not right
huachansu pian	NCT03236636:Phase 3:Not yet recruiting:No publish	html not right
sorafenib tosylate tablets	NCT03236649:Phase 3:Not yet recruiting:No publish	html not right
icaritin	NCT03236649:Phase 3:Not yet recruiting:No publish;;NCT03236636:Phase 3:Not yet recruiting:No publish;;NCT01972672:Phase 2:Unknown status:No publish	html not right
chiauranib	NCT03245190:Phase 1:Recruiting:No publish	html not right
etv；tdf；adv	NCT03253250:Phase 4:Recruiting:No publish	html not right
meclizine oral tablet	NCT03253289:Phase 1:Recruiting:No publish	html not right
guadecitabine	NCT03257761:Phase 1:Recruiting:No publish	html not right
opdivo injectable product or keytruda injectable product	NCT03259867:Phase 2:Recruiting:No publish	html not right
atorvastatin 10mg	NCT03275376:Phase 2:Recruiting:No publish	html not right
arginine hydrochloride	NCT03278444:Phase 3:Recruiting:No publish	html not right
trimetazidine hydrochloride	NCT03278444:Phase 3:Recruiting:No publish	html not right
defined green tea catechin extract	NCT03278925:Phase 1:Not yet recruiting:No publish	html not right
avelumab (msb0010718c)	NCT03289533:Phase 1:Recruiting:No publish	html not right
btg-002814 (vandetanib-eluting radiopaque beads)	NCT03291379:Early Phase 1:Recruiting:No publish	html not right
tremelimumab (regimen 1)	NCT03298451:Phase 3:Recruiting:No publish	html not right
tremelimumab (regimen 2)	NCT03298451:Phase 3:Recruiting:No publish	html not right
durvalumab (regimen 1)	NCT03298451:Phase 3:Recruiting:No publish	html not right
durvalumab (regimen 2)	NCT03298451:Phase 3:Recruiting:No publish	html not right
fmiso	NCT03303469:Phase 2:Recruiting:No publish	html not right
gns561	NCT03316222:Phase 1|Phase 2:Recruiting:No publish	html not right
fate-nk100	NCT03319459:Phase 1:Recruiting:No publish	html not right
trastuzumab	NCT03319459:Phase 1:Recruiting:No publish;;NCT01953926:Phase 2:Recruiting:No publish	No target
acetylsalicylic acid	NCT03326791:Phase 2:Recruiting:No publish	html not right
placebo oral tablet	NCT03326791:Phase 2:Recruiting:No publish;;NCT03219372:Phase 2:Recruiting:No publish;;NCT03024684:Phase 4:Recruiting:No publish;;NCT03275376:Phase 2:Recruiting:No publish	html not right
cdx-1140	NCT03329950:Phase 1:Recruiting:No publish	html not right
cobimetinib	NCT03340558:Phase 2:Not yet recruiting:No publish	html not right
regorafenib(stivarga, bay73-4506)	NCT03347292:Phase 1:Recruiting:No publish	html not right
terlipressinum	NCT03352349:Phase 2:Recruiting:No publish	html not right
avelumab	NCT03389126:Phase 2:Recruiting:No publish	html not right
pembrolizumab	NCT03397654:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT02509507:Phase 1:Recruiting:No publish;;NCT02940496:Phase 1|Phase 2:Recruiting:No publish;;NCT03347292:Phase 1:Recruiting:No publish;;NCT03511222:Phase 1:Not yet recruiting:No publish;;NCT01174121:Phase 2:Recruiting:No publish;;NCT03519997:Phase 2:Recruiting:No publish;;NCT03337841:Phase 2:Not yet recruiting:No publish;;NCT03163992:Phase 2:Recruiting:No publish;;NCT03419481:Phase 2:Recruiting:No publish;;NCT02658019:Phase 2:Active, not recruiting:No publish	No target
standard chemotherapy	NCT03398291:Phase 3:Not yet recruiting:No publish	html not right
folfoxiri and bevacizumab	NCT03401294:Phase 2:Not yet recruiting:No publish	html not right
rintatolimod	NCT03403634:Early Phase 1:Recruiting:No publish	html not right
lumason	NCT03407001:Early Phase 1:Recruiting:No publish	html not right
bgb-a317	NCT03419897:Phase 2:Recruiting:No publish;;NCT03412773:Phase 3:Recruiting:No publish	html not right
icosapent ethyl	NCT03428477:Phase 3:Recruiting:No publish	html not right
lenvatinib	NCT03433703:Phase 2:Recruiting:No publish;;NCT03418922:Phase 1:Recruiting:No publish;;NCT03006926:Phase 1:Recruiting:No publish;;NCT02953743:Phase 1:Active, not recruiting:No publish;;NCT01761266:Phase 3:Active, not recruiting:No publish	html not right
atezolizumab	NCT03434379:Phase 3:Recruiting:No publish	No target
pt-112 injection	NCT03439761:Phase 1|Phase 2:Recruiting:No publish	html not right
para-toluenesulfonamide	NCT03447951:Phase 2:Not yet recruiting:No publish	html not right
shr 1210+apatinib	NCT03463876:Phase 2:Recruiting:No publish	html not right
haic of folfox	NCT03468231:Phase 3:Recruiting:No publish	html not right
haic of oxa	NCT03468231:Phase 3:Recruiting:No publish	html not right
folfox	NCT03469479:Phase 3:Recruiting:No publish	html not right
phase 1 : regorafenib	NCT03475953:Phase 1|Phase 2:Recruiting:No publish	html not right
phase 1 : avelumab	NCT03475953:Phase 1|Phase 2:Recruiting:No publish	html not right
phase 2 : regorafenib	NCT03475953:Phase 1|Phase 2:Recruiting:No publish	html not right
phase 2 : avelumab	NCT03475953:Phase 1|Phase 2:Recruiting:No publish	html not right
5-fluorouracil	NCT03493048:Phase 2:Recruiting:No publish;;NCT03366155:Phase 2:Not yet recruiting:No publish;;NCT03563170:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT00941655:Phase 3:Completed:Rudloff U, Langan RC, Mullinax JE, Beane JD, Steinberg SM, Beresnev T, Webb CC, Walker M, Toomey MA, Schrump D, Pandalai P, Stojadinovic A, Avital I. Impact of maximal cytoreductive surgery plus regional heated intraperitoneal chemotherapy (HIPEC) on outcome of patients with peritoneal carcinomatosis of gastric origin: results of the GYMSSA trial. J Surg Oncol. 2014 Sep;110(3):275-84. doi: 10.1002/jso.23633. Epub 2014 Jul 5.;;NCT01226719:Phase 2:Completed:No publish	html not right
aslan001	NCT03499626:Phase 1|Phase 2:Recruiting:No publish	html not right
fudr	NCT03500874:Phase 3:Recruiting:No publish	html not right
5fu	NCT03500874:Phase 3:Recruiting:No publish	html not right
cgx1321	NCT03507998:Phase 1:Recruiting:No publish	html not right
nivolumab, ipilimumab	NCT03510871:Phase 2:Not yet recruiting:No publish	html not right
vorolanib	NCT03511222:Phase 1:Not yet recruiting:No publish	html not right
chemotherapy drugs+iodized oil	NCT03511703:Phase 2:Not yet recruiting:No publish	html not right
babaodan oral capsule	NCT03515369:Phase 4:Not yet recruiting:No publish	html not right
placebo oral capsule	NCT03515369:Phase 4:Not yet recruiting:No publish	html not right
brivanib 800 mg, qd	NCT03516071:Phase 2:Recruiting:No publish	html not right
brivanib 400 mg, bid	NCT03516071:Phase 2:Recruiting:No publish	html not right
ts-1 combined with cisplatin	NCT03519074:Phase 2:Recruiting:No publish	html not right
bavituximab	NCT03519997:Phase 2:Recruiting:No publish	html not right
etoposide	NCT03533582:Phase 2|Phase 3:Recruiting:No publish;;NCT00007813:Phase 1:Unknown status:Leung W, Chen AR, Klann RC, Moss TJ, Davis JM, Noga SJ, Cohen KJ, Friedman AD, Small D, Schwartz CL, Borowitz MJ, Wharam MD, Paidas CN, Long CA, Karandish S, McMannis JD, Kastan MB, Civin CI. Frequent detection of tumor cells in hematopoietic grafts in neuroblastoma and Ewing's sarcoma. Bone Marrow Transplant. 1998 Nov;22(10):971-9.;;NCT00002854:Phase 1:Completed:No publish;;NCT03017326:Phase 3:Recruiting:No publish;;NCT00003597:Phase 1:Completed:Angiolillo AL, Davenport V, Bonilla MA, van de Ven C, Ayello J, Militano O, Miller LL, Krailo M, Reaman G, Cairo MS; Children's Oncology Group. A phase I clinical, pharmacologic, and biologic study of thrombopoietin and granulocyte colony-stimulating factor in children receiving ifosfamide, carboplatin, and etoposide chemotherapy for recurrent or refractory solid tumors: a Children's Oncology Group experience. Clin Cancer Res. 2005 Apr 1;11(7):2644-50.	html not right
gemcitabine	NCT03533582:Phase 2|Phase 3:Recruiting:No publish;;NCT01525069:Phase 1:Recruiting:No publish;;NCT02423239:Phase 1:Unknown status:No publish;;NCT03017326:Phase 3:Recruiting:No publish;;NCT00844688:Phase 2:Unknown status:No publish;;NCT00142467:Phase 2:Completed:No publish	html not right
durvalumab	NCT03539822:Phase 1:Not yet recruiting:No publish;;NCT03298451:Phase 3:Recruiting:No publish	No target
administration of daa-based treatment	NCT03551444:Phase 3:Recruiting:No publish	html not right
nab-paclitaxel	NCT03563170:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT02423239:Phase 1:Unknown status:No publish	html not right
tace	NCT03572582:Phase 2:Recruiting:No publish;;NCT02956772:Phase 2:Not yet recruiting:No publish;;NCT02418988:Phase 2:Unknown status:No publish;;NCT00921531:Phase 3:Unknown status:No publish	html not right
cvm-1118	NCT03582618:Phase 2:Not yet recruiting:No publish	html not right
lutetium lu 177-dotatate	NCT03590119:Phase 2|Phase 3:Not yet recruiting:No publish	html not right
atg-008	NCT03591965:Phase 2:Not yet recruiting:No publish	html not right
obi-3424	NCT03592264:Phase 1|Phase 2:Recruiting:No publish	html not right
