NCT Number	Status	Study Results	Interventions	Outcome Measures	Phases	URL
NCT03101475	Not yet recruiting	No Results Available	Drug: Durvalumab (MEDI4736)|Drug: Tremelimumab|Radiation: Sterotactic body radiation therapy (SBRT)|Other: Radiofrequency ablation (RFA)	Best overall immune response rate (iBOR) of lesions not treated by ablation/radiotherapy including the extrahepatic lesions according to iRECIST (with response confirmation)|Best overall immune response rate of liver lesions not treated with local therapy according to iRECIST (with response confirmation)|Best overall response rate of lesions not treated by ablation/radiotherapy including or not the extrahepatic lesions according to RECIST v1.1 (with response confirmation)|Response duration|Stable disease duration|Progression free survival according to iRECIST and to RECIST v1.1|Overall survival|Safety: Safety analyses will be performed on the Safety population. The worst toxicity grade per patient over the treatment period according to the CTCAE criteria version 4.0 will be displayed.	Phase 2	https://ClinicalTrials.gov/show/NCT03101475
NCT01322178	Unknown status	No Results Available	Drug: Cetuximab; mFOLFOX6	Resection rate (R0)|Response rate,Progression-free Survival,Overall Survival,R1 resection rate|Number of Participants with Adverse Events as a Measure of Safety and Tolerability	Phase 2	https://ClinicalTrials.gov/show/NCT01322178
NCT01763450	Unknown status	No Results Available	Drug: bevacizumab plus chemotherapy	To assess the objective response rate(ORR)|To assess the R0 resection rate of liver metastases	Phase 2	https://ClinicalTrials.gov/show/NCT01763450
NCT00630045	Unknown status	No Results Available	Drug: neoadjuvant chemotherapy with oxaliplatin and capecitabine|Procedure: resection of liver metastasis	disease free survival rate|R0 resection rate|survival rate and over survival|surgery related mortality|response rate and safety of XELOX as a neoadjuvant regimen	Phase 3	https://ClinicalTrials.gov/show/NCT00630045
NCT00501605	Completed	No Results Available	Drug: AZD2171	primary objective is to evaluate the safety and tolerability of ascending single&multiple oral doses of AZD2171 by assessment of AEs,BP,HR,RR,ECG,clinical chemistry,haematology,urinalysis incl 24hr collection for protein&creatinine and physical exam.|PK,assess the effects of AZD2171 on surrogate markets of activity and to make a preliminary assessment of anti-tumor activity by measurement of tumor response and time to progression	Phase 1	https://ClinicalTrials.gov/show/NCT00501605
NCT00806663	Completed	No Results Available	Drug: sunitinib added to FOLFIRI	reduction of tumor vessel permeability (TVP) and blood flow (BF) measured by DCE-MRI and DCE-USI, measured on liver metastases.|Antitumour response|Time to progression (TTP)|pharmacokinetics|drug treatment safety	Phase 2	https://ClinicalTrials.gov/show/NCT00806663
NCT02082210	Completed	No Results Available	Drug: LY2875358|Drug: Ramucirumab	Part A: Number of Participants Who Experienced Dose-Limiting Toxicities (DLTs)|Part B: Proportion of Participants Who Exhibit Complete Response (CR) or Partial Response (PR) [Overall Response Rate (ORR)]|Pharmacokinetics: Maximum Plasma Concentration (Cmax) of LY2875358|Proportion of Participants who Exhibit Stable Disease (SD) or Confirmed Response (CR) or Partial Response (PR) [Disease Control Rate (DCR)]|Progression Free Survival (PFS)|Pharmacokinetics: Area Under the Concentration-Time Curve (AUC) of LY2875358|Pharmacokinetics: Area Under the Concentration-Time Curve (AUC) of Ramucirumab|Number of Participants with Anti-Ramucirumab and Anti-LY2875358 Antibodies|Pharmacokinetics: Maximum Plasma Concentration (Cmax) of Ramucirumab	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT02082210
NCT01010126	Completed	No Results Available	Biological: Bevacizumab|Drug: Temsirolimus	Progression free survival rate, defined as the proportion of efficacy-evaluable patients on study without documentation of disease progression 6 months from registration|Tumor response rate defined as the total number of efficacy-evaluable patients who achieved a complete or partial response according to the RECIST criteria divided by the total number of efficacy evaluable patients enrolled on study|Duration of response|Incidence of adverse events, defined as adverse events that are classified as either possibly, probably, or definitely related to study treatment, graded per National Cancer Institute Common Terminology Criteria for Adverse Events Version 3.0|Overall survival|Time to disease progression|Time to treatment failure	Phase 2	https://ClinicalTrials.gov/show/NCT01010126
NCT02465112	Recruiting	No Results Available	Drug: In111-Pentetréotide|Other: simple monitoring without active therapy	relapse-free survival (RFS)|Quality of life (EORTC QLQ-C30)|Tolerability|Overall survival (1)|Overall survival (2)|Identify predictive factors of RFS|Impact of the therapy on 1-year RFS in treatment and control group|Impact of the therapy on 5-year RFS in treatment and control group	Phase 3	https://ClinicalTrials.gov/show/NCT02465112
NCT02453490	Recruiting	No Results Available	Drug: Raltitrexed-based chemotherapy|Drug: 5-fluorouracil-based chemotherapy	Objective response rate|R0 resection rate of liver	Phase 3	https://ClinicalTrials.gov/show/NCT02453490
NCT01425879	Completed	Has Results	Drug: Akt Inhibitor MK2206|Other: Diagnostic Laboratory Biomarker Analysis|Other: Pharmacological Study	Overall Response Rate (Complete and Partial Response) as Defined by RECIST 1.1|Frequency of Adverse Events Related to MK-2206|Overall Survival|Progression-free Survival	Phase 2	https://ClinicalTrials.gov/show/NCT01425879
NCT03493048	Recruiting	No Results Available	Drug: Irinotecan|Drug: Cetuximab|Drug: 5-fluorouracil|Drug: Oxaliplatin|Drug: Leucovorin	overall response rate in each cohort	Phase 2	https://ClinicalTrials.gov/show/NCT03493048
NCT03493061	Recruiting	No Results Available	Drug: Irinotecan|Drug: Oxaliplatin|Drug: Floxuridine	Complete resection rates (R0 resection rates)	Phase 2	https://ClinicalTrials.gov/show/NCT03493061
NCT01456078	Recruiting	No Results Available	Drug: 177Lu-DOTA-TATE	Objective tumor response after a cumulative kidney biologically effective dose (BED) of 27 +/- 2 Gy|Objective tumor response after receiving a cumulative BED to the kidneys of 40 +/- 2 Gy as per RECIST v 1.1	Phase 2	https://ClinicalTrials.gov/show/NCT01456078
NCT01511146	Unknown status	No Results Available	Drug: Oxaliplatin|Drug: Mitomycin + Gemcitabine	tumor response according to RECIST 1.1. Number of patients with CR, PR, SD and PR will be recorded.|Progression free survival, adverse events	Phase 2	https://ClinicalTrials.gov/show/NCT01511146
NCT01384994	Unknown status	No Results Available	Drug: Folic Acid|Drug: 5-FU|Drug: Oxaliplatin|Drug: Panitumumab	Progression Free Survival|Tolerability and side effects|Overall Survival	Phase 2	https://ClinicalTrials.gov/show/NCT01384994
NCT01186263	Completed	No Results Available	Drug: MAA for diagnostic SPECT imaging|Drug: Diagnostic B20- SPECT imaging.	Percentage of liver volume for which the accumulation of SIR spheres was correctly predicted by the preceding Tc-99m MAA scintigraphy|Percentage of liver volume for which the accumulation of SIR spheres was correctly predicted by the preceding Tc-99m B20 scintigraphy|Pharmacokinetic parameters of the intrahepatic distribution of MAA and B20.|Adverse events as elicited upon indirect questioning.	Phase 2	https://ClinicalTrials.gov/show/NCT01186263
NCT01469572	Active, not recruiting	No Results Available	Drug: Pasireotide|Procedure: Sir-sphere Radioembolization|Drug: Everolimus	Evaluate the number of patients who develop side effects from combination therapy.|Compare the size of the tumor before and three months after treatment using cross sectional imaging (CT ro MRI)	Phase 1	https://ClinicalTrials.gov/show/NCT01469572
NCT00707681	Unknown status	No Results Available	Drug: MS-20|Drug: Placebo	To evaluate Quality of Life (QoL) score of MS-20 versus placebo in advanced HCC patients|Overall survival, Overall survival rate, Change from baseline of the highest weight observed, Change from baseline of body weight	Phase 2	https://ClinicalTrials.gov/show/NCT00707681
NCT00153998	Completed	No Results Available	Drug: Cetuximab|Procedure: Liver resection|Drug: Cetuximab and FOLFIRI|Drug: Cetuximab and FOLFOX	Tumor response, defined as partial and complete response according to RECIST (Response Evaluation Criteria in Solid Tumors) - criteria in the intention-to-treat [ITT-] population|Rate of R0 liver resection (ITT- population)|Progression free survival (ITT- population)|Disease free survival after resection (ITT- population)|Overall survival (ITT- population)|Safety (all patients that received any study drug)|Molecular predictive markers for response and toxicity	Phase 2	https://ClinicalTrials.gov/show/NCT00153998
NCT03500874	Recruiting	No Results Available	Drug: FUDR|Drug: Oxaliplatin|Drug: Leucovorin|Drug: 5FU	3 Year Relapse Free Survival Rate|Overall Survival	Phase 3	https://ClinicalTrials.gov/show/NCT03500874
NCT02070549	Recruiting	No Results Available	Other: Laboratory Biomarker Analysis|Other: Pharmacogenomic Study|Other: Pharmacological Study|Drug: Trametinib	Maximum tolerated dose of trametinib|Dose-limiting toxicity assessed by National Cancer Institute Common Terminology Criteria for Adverse Events version 5.04|Pharmacokinetic profile of trametinib|Non-dose-limiting toxicities associated with the administration of trametinib|Objective response to treatment assessed using the Response Evaluation Criteria in Solid Tumors criteria 1.1|Predictive biomarkers for individual cancer patients utilizing genomic sequencing technologies	Phase 1	https://ClinicalTrials.gov/show/NCT02070549
NCT01858207	Unknown status	No Results Available	Procedure: Transcatheter Arterial Chemoembolization|Procedure: Radiofrequency ablation|Drug: Doxorubicin	The rate of complete necrosis (CN)|Primary technique effectiveness|local tumor progression of HCC|Survival|Major complication	Phase 2	https://ClinicalTrials.gov/show/NCT01858207
NCT01203787	Completed	Has Results	Drug: Sorafenib Standard Dosing Regimen|Drug: Sorafenib Ramp-Up Regimen	Total (Cumulative) Dose Delivery of Sorafenib|Cumulative Dose of Sorafenib|Safety and Efficacy of Sorafenib Dosing Regimens|Safety of Dosing Regimens as Assessed by the Frequency and Severity of Adverse Events According to National Cancer Institute- CTCAE|Frequency and Severity of Adverse Events According to National Cancer Institute- CTCAE|Number of Subjects With Dose Interruptions|Number of Subjects With Dose Reductions	Phase 4	https://ClinicalTrials.gov/show/NCT01203787
NCT01959061	Recruiting	No Results Available	Drug: Raltitrexed|Drug: Oxaliplatin|Drug: lipiodol	Progression-free survivial	Phase 4	https://ClinicalTrials.gov/show/NCT01959061
NCT00264446	Completed	No Results Available	Drug: ADH300004		Phase 1	https://ClinicalTrials.gov/show/NCT00264446
NCT00044512	Completed	Has Results	Drug: Sorafenib (Nexavar, BAY43-9006)	Percentage of Participants for Each Type of Response|Duration of Response|Time to Response|Time to Progression|Duration of Stable Disease|Time to Minor Response|Duration of Minor Response|Overall Survival	Phase 2	https://ClinicalTrials.gov/show/NCT00044512
NCT00557557	Completed	No Results Available	Drug: Drug: 5-FU|Drug: Drug: Oxaliplatin	Primary endpoint is to determine the maximum tolerated dose and dose limiting toxicity of 5-FU delivered with 40mg/m² of Oxaliplatin via IHP.|Secondary endpoints will be to determine the response rate and survival after IHP with 5-FU and Oxaliplatin.	Phase 1	https://ClinicalTrials.gov/show/NCT00557557
NCT00101270	Completed	No Results Available	Drug: irinotecan hydrochloride|Drug: oxaliplatin	MTD of oxaliplatin, defined as the maximum dose at which fewer than one-third of patients experience DLT|Overall response assessed using RECIST criteria	Phase 1	https://ClinicalTrials.gov/show/NCT00101270
NCT00091182	Completed	No Results Available	Drug: oxaliplatin	Response rate	Phase 2	https://ClinicalTrials.gov/show/NCT00091182
NCT03458975	Not yet recruiting	No Results Available	Radiation: MRI|Radiation: Perfusion CT scan|Other: Contrast enhanced ultrasound|Drug: Sonoporation	Objective response for liver metastases|Safety|Tolerance|Maximum percent reduction in tumor density on CT scan|Maximum percent reduction in tumor density on MRI|Assessment of tumor vascularity by Perfusion CT scan|Assessment of tumor vascularity by MRI|Assessment of tumor vascularity by Dynamic Contrast-Enhanced US (DCE-US)|Dosage of bevacizumab|Dosage of bevacizumab by ELISA test|Dosage of cytokines	Phase 2	https://ClinicalTrials.gov/show/NCT03458975
NCT00012181	Completed	No Results Available	Drug: alvocidib|Other: pharmacological study	MTD defined as the dose at which fewer than one-third of patients experience DLT assessed using Common Toxicity Criteria version 2.0	Phase 1	https://ClinicalTrials.gov/show/NCT00012181
NCT01442935	Active, not recruiting	No Results Available	Drug: Oxaliplatin|Drug: Folinic Acid|Drug: 5-FU|Drug: Irinotecan|Drug: Bevacizumab|Drug: Cetuximab	The main objective is to compare resection rates (R0 or R1) for hepatic metastases|The objective response rate (CR and PR) after 4 cycles of treatment|Complete remission rate (CR) 6 months after the last study treatment (hepatic surgery or last chemotherapy cycle)|Specific resection rates R0/R1/R2|Complete pathological response|Toxicity of treatment|Post operatory complications|Progression-free survival (PFS)|Overall survival (OS)	Phase 2	https://ClinicalTrials.gov/show/NCT01442935
NCT00200200	Active, not recruiting	No Results Available	Drug: Bevacizumab HAI plus systemic chemotherapy|Drug: HAI plus systemic chemotherapy	To determine whether the addition of concurrent intravenous bevacizumab to HAI plus systemic chemotherapy increases the time to progression in patients with completely resected hepatic metastases from colorectal cancer|To assess toxicity|To determine survival|To assess the expression pattern of VEGFR1, VEGFR2 (angiogenesis), and VEGFR3 (lymphangiogenesis) and their cognate ligands (VEGF-A, VEGF-C, VEGF-D), and correlate with patient progression and survival following|To compare plasma levels of VEGF-A, VEGF-C, VEGF-D, and CD133+ VEGFR2+ circulating endothelial progenitors	Phase 2	https://ClinicalTrials.gov/show/NCT00200200
NCT02947165	Recruiting	No Results Available	Drug: NIS793|Drug: PDR001	Incidence of DLTs, AEs, SAEs and dose reductions / interruptions for NIS793|Incidence of DLTs, AEs, SAEs and dose reductions/interruptions for NIS793 in combination with PDR001|Best overall response (BOR)|Disease control rate (DCR)|Overall response rate (ORR)|Progression free survival (PFS)|Duration of response (DOR)|Serum concentration-time profiles of NIS793 single agent and NIS793 in combination with PDR001|Presence of anti-NIS793 and anti-PDR001 antibodies|Concentration of anti-NIS793 and anti-PDR001 antibodies|Area under the curve (AUC) for NIS793 single agent and NIS793 in combination with PDR001.|Cmax for NIS793 single agent and NIS793 in combination with PDR001.|Tmax for NIS793 single agent and NIS793 in combination with PDR001.|Half life of NIS793 as single agent and in combination with PDR001.|Characterization of tumor infiltrating lymphocytes (TILs) by H&E|Characterization of tumor infiltrating lymphocytes by immunohistochemistry (CD8, FOXP3, PD-L1, TIM-3, LAG-3)	Phase 1	https://ClinicalTrials.gov/show/NCT02947165
